Year,Month,Day,BeginHour,Vp,Dp,Bz,Kp3,
2000.00,8.00,10.00,1800.00,436.10,5.10,-6.10,3.33,
2000.00,8.00,10.00,2100.00,438.80,2.20,-12.00,5.33,
2000.00,8.00,11.00,0.00,436.10,3.10,-13.40,5.67,
2000.00,8.00,11.00,300.00,435.20,3.70,-12.50,5.67,
2000.00,8.00,11.00,600.00,428.40,1.90,-10.50,5.00,
2000.00,8.00,11.00,900.00,434.20,2.50,-10.30,4.33,
2000.00,8.00,11.00,1200.00,431.50,2.10,-10.30,4.33,
2000.00,8.00,11.00,1500.00,411.00,1.30,-9.20,2.67,
2000.00,8.00,11.00,1800.00,507.30,2.40,-14.90,5.00,
2000.00,8.00,11.00,2100.00,636.00,3.20,-9.20,5.67,
2000.00,8.00,12.00,0.00,622.70,9.40,-2.50,5.00,
2000.00,8.00,12.00,300.00,674.90,8.60,-17.30,7.33,
2000.00,8.00,12.00,600.00,601.60,4.90,-20.50,7.67,
2000.00,8.00,12.00,900.00,604.00,3.40,-32.30,7.67,
2000.00,8.00,12.00,1200.00,606.30,12.30,-24.50,7.33,
2000.00,8.00,12.00,1500.00,581.00,8.20,-21.50,7.33,
2000.00,8.00,12.00,1800.00,555.90,6.50,-12.10,6.33,
2000.00,8.00,12.00,2100.00,566.50,5.30,-7.70,3.67,
2000.00,8.00,13.00,0.00,538.90,1.50,9.40,4.33,
2000.00,8.00,13.00,300.00,584.30,24.30,12.90,5.67,
2000.00,8.00,13.00,600.00,571.10,12.50,10.20,3.00,
2000.00,8.00,13.00,900.00,580.70,7.50,6.40,1.67,
2000.00,8.00,13.00,1200.00,571.30,1.70,4.60,2.33,
2000.00,8.00,13.00,1500.00,557.70,2.70,4.80,1.67,
2000.00,8.00,13.00,1800.00,542.30,3.20,5.70,1.67,
2000.00,8.00,13.00,2100.00,531.90,2.00,4.60,2.67,
2000.00,8.00,14.00,0.00,486.70,1.50,4.50,0.67,
2000.00,8.00,14.00,300.00,495.00,1.60,5.00,1.00,
2000.00,8.00,14.00,600.00,482.00,2.50,3.80,0.67,
2000.00,8.00,14.00,900.00,457.80,2.30,4.80,1.00,
2000.00,8.00,14.00,1200.00,470.50,3.40,2.30,2.33,
2000.00,8.00,14.00,1500.00,456.30,4.30,-1.60,3.33,
2000.00,8.00,14.00,1800.00,495.80,2.60,2.70,3.67,
2000.00,8.00,14.00,2100.00,525.60,6.10,2.10,4.33,
2000.00,8.00,15.00,0.00,585.60,6.20,4.40,3.00,
2000.00,8.00,15.00,300.00,562.00,5.60,0.50,3.67,
2000.00,8.00,15.00,600.00,549.50,3.50,-1.00,1.00,
2000.00,8.00,15.00,900.00,528.40,2.90,-2.80,1.67,
2000.00,8.00,15.00,1200.00,476.10,2.70,-1.00,1.33,
2000.00,8.00,15.00,1500.00,494.20,3.10,-0.30,1.33,
2000.00,8.00,15.00,1800.00,460.00,3.70,0.40,1.67,
2000.00,8.00,15.00,2100.00,423.40,3.20,-1.10,1.33,
2000.00,8.00,16.00,0.00,426.20,3.60,-0.30,2.00,
2000.00,8.00,16.00,300.00,421.30,4.70,-1.50,2.00,
2000.00,8.00,16.00,600.00,439.50,3.50,-2.60,2.33,
2000.00,8.00,16.00,900.00,428.70,1.90,-3.90,1.33,
2000.00,8.00,16.00,1200.00,432.80,2.60,-4.20,2.00,
2000.00,8.00,16.00,1500.00,406.50,4.20,-1.50,1.33,
2000.00,8.00,18.00,2100.00,309.60,4.00,1.80,0.67,
2000.00,8.00,19.00,0.00,320.50,4.10,2.50,1.00,
2000.00,8.00,19.00,300.00,340.60,1.60,4.20,0.33,
2000.00,8.00,19.00,600.00,355.60,1.80,3.20,0.33,
2000.00,8.00,19.00,900.00,356.50,1.20,5.20,0.67,
2000.00,8.00,19.00,1200.00,348.50,1.60,5.20,1.00,
2000.00,8.00,19.00,1500.00,331.60,3.80,2.90,2.33,
2000.00,8.00,19.00,1800.00,313.30,1.40,5.70,1.33,
2000.00,8.00,19.00,2100.00,314.50,1.30,4.30,1.00,
2000.00,8.00,20.00,0.00,329.20,0.80,5.00,0.00,
2000.00,8.00,20.00,300.00,329.90,1.50,5.40,0.33,
2000.00,8.00,20.00,600.00,318.80,1.60,5.20,0.00,
2000.00,8.00,20.00,900.00,322.80,4.70,1.80,1.67,
2000.00,8.00,20.00,1200.00,313.40,3.20,6.10,0.67,
2000.00,8.00,20.00,1500.00,315.50,2.60,4.90,2.33,
2000.00,8.00,20.00,1800.00,319.10,3.10,5.50,2.00,
2000.00,8.00,20.00,2100.00,316.50,2.10,0.80,1.00,
2000.00,8.00,21.00,0.00,353.60,5.00,-6.40,2.00,
2000.00,8.00,21.00,300.00,352.30,4.50,-7.60,3.33,
2000.00,8.00,21.00,600.00,349.40,5.90,-6.40,1.67,
2000.00,8.00,21.00,900.00,341.80,5.10,-5.80,2.67,
2000.00,8.00,21.00,1200.00,329.80,3.50,-1.80,1.67,
2000.00,8.00,21.00,1500.00,327.20,2.80,-1.60,1.67,
